gender_female,gender_male,race/ethnicity_group A,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_associate's degree,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_free/reduced,lunch_standard,test preparation course_completed,test preparation course_none,math_cat_μέτριο,math_cat_υψηλό,math_cat_χαμηλό,reading_cat_μέτριο,reading_cat_υψηλό,reading_cat_χαμηλό,writing_cat_μέτριο,writing_cat_υψηλό,writing_cat_χαμηλό
True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True
True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False
False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True
True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False
False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False
False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,True
True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False
True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False
True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False
False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False
True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False
True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True
True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False
False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False
True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False
False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False
True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True
True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False
True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False
False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False
False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False
False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False
False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True
True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False
False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True
False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True
True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True
False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False
False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True
True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True
True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,True,False,False
True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,True
False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True
False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True
False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False
True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,True,False,False
True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True
False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True
False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False
True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False
True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False
True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True
True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False
False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False
False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,True,False,False
True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False
True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False
True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False
True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False
False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True
False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False
True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False
False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False
True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False
True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False
True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False
False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True
False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True
True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True
True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False
False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False
True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False
True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False
True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False
True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False
False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False
False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True
False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False
False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False
True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False
False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True
False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False
False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False
False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True
False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,True
False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True
True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False
True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False
True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True
False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True
False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False
True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False
False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,True,False,False
False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False
False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False
True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False
False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True
True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False
False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False
False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False
True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False
False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True
True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False
False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True
True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False
False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False
False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True
True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False
True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True
True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False
True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False
True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False
False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False
True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True
True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True
False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False
False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,True,False,False
False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True
True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False
True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,True,False,True,False,False
True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False
True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False
False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True
False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False
False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True
True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False
True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False
True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False
False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False
False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,True,False,False
False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False
False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False
True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False
True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False
False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True
True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True
False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False
False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,True,False,False
True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False
False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,True
True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False
False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False
True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True
False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True
True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False
False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False
False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False
True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,True,False,False
False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False
True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False
True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True
False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False
False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True
False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,True
True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False
True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True
True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False
True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False
False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False
