antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'math_cat_υψηλό', 'gender_female', 'reading_cat_υψηλό'})",frozenset({'writing_cat_υψηλό'}),0.066,0.208,0.065,0.9848484848484849,4.734848484848485,1.0,0.051272,52.27200000000005,0.8445396145610278,0.3110047846889952,0.9808692990511173,0.6486742424242424
frozenset({'writing_cat_υψηλό'}),"frozenset({'math_cat_υψηλό', 'gender_female', 'reading_cat_υψηλό'})",0.208,0.066,0.065,0.3125,4.734848484848484,1.0,0.051272,1.3585454545454545,0.9959595959595958,0.3110047846889952,0.2639186295503212,0.6486742424242424
frozenset({'writing_cat_υψηλό'}),"frozenset({'math_cat_υψηλό', 'gender_female', 'reading_cat_υψηλό', 'lunch_standard'})",0.208,0.06,0.059,0.28365384615384615,4.727564102564102,1.0,0.04652,1.312214765100671,0.9955487074131142,0.2822966507177033,0.23792962356792144,0.6334935897435897
"frozenset({'math_cat_υψηλό', 'gender_female', 'reading_cat_υψηλό', 'lunch_standard'})",frozenset({'writing_cat_υψηλό'}),0.06,0.208,0.059,0.9833333333333333,4.727564102564102,1.0,0.04652,47.519999999999854,0.8388027407140282,0.2822966507177033,0.9789562289562289,0.6334935897435897
"frozenset({'reading_cat_υψηλό', 'lunch_standard'})","frozenset({'test preparation course_completed', 'math_cat_υψηλό', 'writing_cat_υψηλό'})",0.182,0.062,0.053,0.29120879120879123,4.696915987238568,1.0,0.041716,1.3233798449612404,0.9622180190985837,0.2774869109947644,0.2443590524613979,0.5730237504431053
"frozenset({'test preparation course_completed', 'math_cat_υψηλό', 'writing_cat_υψηλό'})","frozenset({'reading_cat_υψηλό', 'lunch_standard'})",0.062,0.182,0.053,0.8548387096774194,4.696915987238568,1.0,0.041716,5.6351111111111125,0.8391197650561212,0.2774869109947644,0.8225412098745957,0.5730237504431053
"frozenset({'writing_cat_υψηλό', 'lunch_standard'})","frozenset({'math_cat_υψηλό', 'reading_cat_υψηλό'})",0.162,0.131,0.099,0.6111111111111112,4.664970313825276,1.0,0.077778,2.234571428571429,0.937513560425255,0.5103092783505154,0.5524868942590462,0.6834181509754029
"frozenset({'math_cat_υψηλό', 'reading_cat_υψηλό'})","frozenset({'writing_cat_υψηλό', 'lunch_standard'})",0.131,0.162,0.099,0.7557251908396947,4.664970313825275,1.0,0.077778,3.4305625,0.9040694633329845,0.5103092783505154,0.7085026143671774,0.6834181509754029
"frozenset({'math_cat_υψηλό', 'reading_cat_υψηλό'})","frozenset({'test preparation course_completed', 'writing_cat_υψηλό', 'lunch_standard'})",0.131,0.087,0.053,0.4045801526717557,4.650346582433974,1.0,0.041603,1.5333717948717946,0.9032937447076449,0.32121212121212117,0.3478424454236097,0.5068877774853031
"frozenset({'test preparation course_completed', 'writing_cat_υψηλό', 'lunch_standard'})","frozenset({'math_cat_υψηλό', 'reading_cat_υψηλό'})",0.087,0.131,0.053,0.6091954022988506,4.650346582433974,1.0,0.041603,2.223617647058824,0.8597615160470354,0.32121212121212117,0.550282396201209,0.5068877774853031
"frozenset({'math_cat_υψηλό', 'gender_female'})",frozenset({'writing_cat_υψηλό'}),0.068,0.208,0.065,0.9558823529411764,4.595588235294118,1.0,0.050856,17.951999999999973,0.8394849785407725,0.30805687203791465,0.944295900178253,0.6341911764705882
frozenset({'writing_cat_υψηλό'}),"frozenset({'math_cat_υψηλό', 'gender_female'})",0.208,0.068,0.065,0.3125,4.595588235294118,1.0,0.050856,1.3556363636363635,0.9878787878787878,0.30805687203791465,0.2623390557939914,0.6341911764705882
"frozenset({'math_cat_υψηλό', 'gender_female', 'lunch_standard'})",frozenset({'writing_cat_υψηλό'}),0.062,0.208,0.059,0.9516129032258064,4.575062034739454,1.0,0.046104,16.367999999999977,0.8330743377543277,0.27962085308056867,0.9389051808406647,0.6176333746898263
frozenset({'writing_cat_υψηλό'}),"frozenset({'math_cat_υψηλό', 'gender_female', 'lunch_standard'})",0.208,0.062,0.059,0.28365384615384615,4.575062034739454,1.0,0.046104,1.309422818791946,0.9866461222393426,0.27962085308056867,0.23630474003608332,0.6176333746898263
"frozenset({'writing_cat_υψηλό', 'test preparation course_none'})","frozenset({'gender_female', 'reading_cat_υψηλό'})",0.091,0.159,0.066,0.7252747252747254,4.561476259589468,1.0,0.05153100000000001,3.061240000000001,0.858935893589359,0.3586956521739131,0.6733349884360587,0.5701845324486834
"frozenset({'gender_female', 'reading_cat_υψηλό'})","frozenset({'writing_cat_υψηλό', 'test preparation course_none'})",0.159,0.091,0.066,0.41509433962264153,4.561476259589467,1.0,0.05153100000000001,1.5540967741935485,0.9283861204194143,0.3586956521739131,0.3565394275276585,0.5701845324486834
"frozenset({'math_cat_χαμηλό', 'lunch_free/reduced', 'reading_cat_χαμηλό'})","frozenset({'writing_cat_χαμηλό', 'gender_female'})",0.123,0.1,0.056,0.4552845528455285,4.5528455284552845,1.0,0.0437,1.6522388059701494,0.8898028994950318,0.33532934131736525,0.39476061427280945,0.5076422764227642
"frozenset({'writing_cat_χαμηλό', 'gender_female'})","frozenset({'math_cat_χαμηλό', 'lunch_free/reduced', 'reading_cat_χαμηλό'})",0.1,0.123,0.056,0.5599999999999999,4.5528455284552845,1.0,0.0437,1.993181818181818,0.8670634920634921,0.33532934131736525,0.49828962371721774,0.5076422764227642
"frozenset({'test preparation course_completed', 'math_cat_υψηλό', 'reading_cat_υψηλό'})","frozenset({'writing_cat_υψηλό', 'lunch_standard'})",0.072,0.162,0.053,0.7361111111111112,4.543895747599452,1.0,0.041336,3.1755789473684217,0.8404359141184125,0.292817679558011,0.6850967913020419,0.5316358024691358
"frozenset({'writing_cat_υψηλό', 'lunch_standard'})","frozenset({'test preparation course_completed', 'math_cat_υψηλό', 'reading_cat_υψηλό'})",0.162,0.072,0.053,0.32716049382716045,4.543895747599451,1.0,0.041336,1.379229357798165,0.9306975278065476,0.292817679558011,0.2749574286930608,0.5316358024691358
"frozenset({'writing_cat_υψηλό', 'gender_female'})","frozenset({'math_cat_μέτριο', 'reading_cat_υψηλό'})",0.154,0.103,0.071,0.461038961038961,4.476106417853991,1.0,0.05513799999999999,1.6643132530120481,0.9179569140611993,0.3817204301075269,0.3991515730646165,0.5751796746942378
"frozenset({'math_cat_μέτριο', 'reading_cat_υψηλό'})","frozenset({'writing_cat_υψηλό', 'gender_female'})",0.103,0.154,0.071,0.6893203883495146,4.476106417853991,1.0,0.05513799999999999,2.7230625,0.865765383830295,0.3817204301075269,0.632766416488788,0.5751796746942378
"frozenset({'writing_cat_υψηλό', 'test preparation course_none', 'lunch_standard'})","frozenset({'gender_female', 'reading_cat_υψηλό'})",0.075,0.159,0.053,0.7066666666666667,4.444444444444445,1.0,0.041075,2.8670454545454542,0.8378378378378378,0.292817679558011,0.651208878319461,0.52
"frozenset({'gender_female', 'reading_cat_υψηλό'})","frozenset({'writing_cat_υψηλό', 'test preparation course_none', 'lunch_standard'})",0.159,0.075,0.053,0.3333333333333333,4.444444444444445,1.0,0.041075,1.3875,0.9215219976218788,0.292817679558011,0.27927927927927926,0.52
"frozenset({'test preparation course_completed', 'math_cat_υψηλό'})","frozenset({'writing_cat_υψηλό', 'reading_cat_υψηλό', 'lunch_standard'})",0.084,0.144,0.053,0.6309523809523809,4.381613756613757,1.0,0.040903999999999996,2.319483870967742,0.8425475817747383,0.3028571428571429,0.5688696039163329,0.49950396825396826
"frozenset({'writing_cat_υψηλό', 'reading_cat_υψηλό', 'lunch_standard'})","frozenset({'test preparation course_completed', 'math_cat_υψηλό'})",0.144,0.084,0.053,0.3680555555555556,4.381613756613756,1.0,0.040903999999999996,1.4494945054945056,0.9016046552636219,0.3028571428571429,0.31010431829209123,0.49950396825396826
frozenset({'writing_cat_υψηλό'}),"frozenset({'test preparation course_completed', 'gender_female', 'reading_cat_υψηλό'})",0.208,0.077,0.07,0.33653846153846156,4.370629370629371,1.0,0.053984000000000004,1.3911884057971016,0.9737373737373737,0.3255813953488373,0.28119009917493126,0.6228146853146854
"frozenset({'test preparation course_completed', 'gender_female', 'reading_cat_υψηλό'})",frozenset({'writing_cat_υψηλό'}),0.077,0.208,0.07,0.9090909090909092,4.370629370629371,1.0,0.053984000000000004,8.712000000000009,0.8355362946912241,0.3255813953488373,0.8852157943067035,0.6228146853146854
"frozenset({'math_cat_χαμηλό', 'lunch_free/reduced', 'writing_cat_χαμηλό'})","frozenset({'gender_female', 'reading_cat_χαμηλό'})",0.132,0.098,0.056,0.42424242424242425,4.329004329004329,1.0,0.043064,1.5666315789473686,0.8859447004608295,0.3218390804597701,0.3616878317543506,0.49783549783549785
"frozenset({'gender_female', 'reading_cat_χαμηλό'})","frozenset({'math_cat_χαμηλό', 'lunch_free/reduced', 'writing_cat_χαμηλό'})",0.098,0.132,0.056,0.5714285714285714,4.329004329004329,1.0,0.043064,2.025333333333333,0.852549889135255,0.3218390804597701,0.5062541145490453,0.49783549783549785
"frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό'})","frozenset({'gender_female', 'reading_cat_υψηλό', 'lunch_standard'})",0.114,0.12,0.059,0.5175438596491228,4.312865497076023,1.0,0.04532,1.8239999999999998,0.8669701955082832,0.33714285714285713,0.45175438596491224,0.5046052631578947
"frozenset({'gender_female', 'reading_cat_υψηλό', 'lunch_standard'})","frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό'})",0.12,0.114,0.059,0.49166666666666664,4.312865497076023,1.0,0.04532,1.7429508196721313,0.8728813559322034,0.33714285714285713,0.42626034612490593,0.5046052631578947
"frozenset({'test preparation course_completed', 'reading_cat_υψηλό'})","frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό'})",0.125,0.114,0.061,0.488,4.280701754385965,1.0,0.04675,1.73046875,0.8758782201405152,0.34269662921348315,0.4221218961625282,0.5115438596491229
"frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό'})","frozenset({'test preparation course_completed', 'reading_cat_υψηλό'})",0.114,0.125,0.061,0.5350877192982456,4.280701754385965,1.0,0.04675,1.8820754716981132,0.8650038855789514,0.34269662921348315,0.46867167919799496,0.5115438596491229
frozenset({'reading_cat_υψηλό'}),"frozenset({'test preparation course_completed', 'math_cat_υψηλό', 'writing_cat_υψηλό', 'lunch_standard'})",0.235,0.053,0.053,0.22553191489361704,4.255319148936171,1.0,0.040545,1.2227747252747252,1.0,0.22553191489361704,0.1821878721157519,0.6127659574468085
"frozenset({'test preparation course_completed', 'math_cat_υψηλό', 'writing_cat_υψηλό', 'lunch_standard'})",frozenset({'reading_cat_υψηλό'}),0.053,0.235,0.053,1.0,4.25531914893617,1.0,0.040545,inf,0.8078141499472017,0.22553191489361704,1.0,0.6127659574468085
frozenset({'reading_cat_υψηλό'}),"frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό', 'gender_female'})",0.235,0.065,0.065,0.2765957446808511,4.25531914893617,1.0,0.049725000000000005,1.2925000000000002,1.0,0.2765957446808511,0.2263056092843327,0.6382978723404256
frozenset({'reading_cat_υψηλό'}),"frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό', 'gender_female', 'lunch_standard'})",0.235,0.059,0.059,0.251063829787234,4.25531914893617,1.0,0.045134999999999995,1.2564488636363638,0.9999999999999999,0.251063829787234,0.20410608904063124,0.625531914893617
"frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό', 'gender_female'})",frozenset({'reading_cat_υψηλό'}),0.065,0.235,0.065,1.0,4.25531914893617,1.0,0.049725000000000005,inf,0.8181818181818182,0.2765957446808511,1.0,0.6382978723404256
"frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό', 'gender_female', 'lunch_standard'})",frozenset({'reading_cat_υψηλό'}),0.059,0.235,0.059,1.0,4.25531914893617,1.0,0.045134999999999995,inf,0.8129649309245482,0.251063829787234,1.0,0.625531914893617
"frozenset({'test preparation course_completed', 'math_cat_υψηλό', 'writing_cat_υψηλό'})",frozenset({'reading_cat_υψηλό'}),0.062,0.235,0.061,0.9838709677419355,4.186684969114619,1.0,0.04643,47.43000000000004,0.8114579328183439,0.2584745762711865,0.9789162977018765,0.621722717913521
frozenset({'reading_cat_υψηλό'}),"frozenset({'test preparation course_completed', 'math_cat_υψηλό', 'writing_cat_υψηλό'})",0.235,0.062,0.061,0.25957446808510637,4.186684969114619,1.0,0.04643,1.26683908045977,0.9949641058609237,0.2584745762711865,0.2106337612847616,0.621722717913521
"frozenset({'race/ethnicity_group C', 'reading_cat_υψηλό'})",frozenset({'writing_cat_υψηλό'}),0.067,0.208,0.058,0.8656716417910447,4.161882893226177,1.0,0.044064000000000006,5.895999999999998,0.8142809624126844,0.2672811059907834,0.8303934871099049,0.5722588978185993
frozenset({'writing_cat_υψηλό'}),"frozenset({'race/ethnicity_group C', 'reading_cat_υψηλό'})",0.208,0.067,0.058,0.27884615384615385,4.161882893226177,1.0,0.044064000000000006,1.29376,0.9592476489028213,0.2672811059907834,0.22705911451892158,0.5722588978185993
"frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό', 'lunch_standard'})","frozenset({'test preparation course_completed', 'reading_cat_υψηλό'})",0.102,0.125,0.053,0.5196078431372549,4.1568627450980395,1.0,0.04025,1.8214285714285716,0.8456948354834644,0.3045977011494253,0.4509803921568628,0.4718039215686275
"frozenset({'test preparation course_completed', 'reading_cat_υψηλό'})","frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό', 'lunch_standard'})",0.125,0.102,0.053,0.424,4.1568627450980395,1.0,0.04025,1.5590277777777777,0.8679245283018868,0.3045977011494253,0.3585746102449889,0.4718039215686275
"frozenset({'writing_cat_υψηλό', 'gender_female', 'lunch_standard'})","frozenset({'test preparation course_none', 'reading_cat_υψηλό'})",0.116,0.11,0.053,0.4568965517241379,4.153605015673981,1.0,0.04024,1.6387301587301586,0.8588747545462306,0.30635838150289013,0.3897714064316156,0.46935736677115986
"frozenset({'test preparation course_none', 'reading_cat_υψηλό'})","frozenset({'writing_cat_υψηλό', 'gender_female', 'lunch_standard'})",0.11,0.116,0.053,0.4818181818181818,4.153605015673981,1.0,0.04024,1.7059649122807017,0.8530845876616494,0.30635838150289013,0.4138214726450021,0.46935736677115986
"frozenset({'math_cat_χαμηλό', 'test preparation course_none', 'reading_cat_χαμηλό'})","frozenset({'writing_cat_χαμηλό', 'gender_female'})",0.169,0.1,0.07,0.41420118343195267,4.1420118343195265,1.0,0.05310000000000001,1.5363636363636364,0.9128416709644148,0.35175879396984927,0.34911242603550297,0.5571005917159764
"frozenset({'writing_cat_χαμηλό', 'gender_female'})","frozenset({'math_cat_χαμηλό', 'test preparation course_none', 'reading_cat_χαμηλό'})",0.1,0.169,0.07,0.7000000000000001,4.1420118343195265,1.0,0.05310000000000001,2.7700000000000005,0.8428571428571427,0.35175879396984927,0.6389891696750903,0.5571005917159764
frozenset({'reading_cat_υψηλό'}),"frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό', 'lunch_standard'})",0.235,0.102,0.099,0.4212765957446809,4.1301627033792245,1.0,0.07503000000000001,1.5516911764705885,0.9906912259853436,0.4159663865546219,0.3555418660853908,0.6959324155193993
"frozenset({'math_cat_υψηλό', 'gender_female'})",frozenset({'reading_cat_υψηλό'}),0.068,0.235,0.066,0.9705882352941176,4.1301627033792245,1.0,0.05002,26.009999999999994,0.8131746651059957,0.2784810126582279,0.9615532487504805,0.6257196495619525
"frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό', 'lunch_standard'})",frozenset({'reading_cat_υψηλό'}),0.102,0.235,0.099,0.9705882352941178,4.1301627033792245,1.0,0.07503000000000001,26.010000000000094,0.8439630154552205,0.4159663865546219,0.9615532487504808,0.6959324155193993
frozenset({'reading_cat_υψηλό'}),"frozenset({'math_cat_υψηλό', 'gender_female'})",0.235,0.068,0.066,0.28085106382978725,4.130162703379224,1.0,0.05002,1.2959763313609467,0.9906912259853436,0.2784810126582279,0.22838096977444985,0.6257196495619525
"frozenset({'test preparation course_completed', 'math_cat_υψηλό'})","frozenset({'reading_cat_υψηλό', 'lunch_standard'})",0.084,0.182,0.063,0.75,4.120879120879121,1.0,0.047712,3.2720000000000002,0.826783114992722,0.31034482758620685,0.6943765281173594,0.5480769230769231
"frozenset({'reading_cat_υψηλό', 'lunch_standard'})","frozenset({'test preparation course_completed', 'math_cat_υψηλό'})",0.182,0.084,0.063,0.34615384615384615,4.1208791208791204,1.0,0.047712,1.4009411764705884,0.9258353708231458,0.31034482758620685,0.28619415518978836,0.5480769230769231
"frozenset({'math_cat_υψηλό', 'gender_female', 'lunch_standard'})",frozenset({'reading_cat_υψηλό'}),0.062,0.235,0.06,0.9677419354838709,4.118050789293068,1.0,0.04543,23.71499999999994,0.8072139303482587,0.25316455696202533,0.9578325954037528,0.6115305422100206
frozenset({'reading_cat_υψηλό'}),"frozenset({'math_cat_υψηλό', 'gender_female', 'lunch_standard'})",0.235,0.062,0.06,0.2553191489361702,4.118050789293068,1.0,0.04543,1.2595999999999998,0.9897603485838781,0.25316455696202533,0.20609717370593839,0.6115305422100206
frozenset({'writing_cat_υψηλό'}),"frozenset({'gender_female', 'reading_cat_υψηλό'})",0.208,0.159,0.136,0.653846153846154,4.112239961296566,1.0,0.10292800000000002,2.4295555555555564,0.9555852644087939,0.5887445887445888,0.588402085429434,0.7545960328979198
"frozenset({'gender_female', 'reading_cat_υψηλό'})",frozenset({'writing_cat_υψηλό'}),0.159,0.208,0.136,0.8553459119496856,4.112239961296566,1.0,0.10292800000000002,5.47513043478261,0.8999090718332519,0.5887445887445888,0.8173559494314212,0.7545960328979198
frozenset({'reading_cat_υψηλό'}),"frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό'})",0.235,0.114,0.11,0.46808510638297873,4.106009705113848,1.0,0.08321,1.66568,0.9888294711824124,0.46025104602510464,0.39964458959704147,0.7164986935423665
"frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό'})",frozenset({'reading_cat_υψηλό'}),0.114,0.235,0.11,0.9649122807017544,4.106009705113848,1.0,0.08321,21.802500000000002,0.8537861686845886,0.46025104602510464,0.9541337002637312,0.7164986935423665
"frozenset({'lunch_free/reduced', 'reading_cat_χαμηλό'})","frozenset({'writing_cat_χαμηλό', 'gender_female'})",0.139,0.1,0.057,0.41007194244604317,4.100719424460431,1.0,0.0431,1.525609756097561,0.8782117896366933,0.3131868131868132,0.3445243804956035,0.49003597122302156
"frozenset({'writing_cat_χαμηλό', 'gender_female'})","frozenset({'lunch_free/reduced', 'reading_cat_χαμηλό'})",0.1,0.139,0.057,0.57,4.100719424460431,1.0,0.0431,2.0023255813953487,0.8401559454191032,0.3131868131868132,0.5005807200929151,0.49003597122302156
"frozenset({'gender_female', 'reading_cat_υψηλό', 'lunch_standard'})",frozenset({'writing_cat_υψηλό'}),0.12,0.208,0.102,0.85,4.086538461538462,1.0,0.07704,5.279999999999999,0.8582887700534759,0.4513274336283186,0.8106060606060606,0.6701923076923076
frozenset({'writing_cat_υψηλό'}),"frozenset({'gender_female', 'reading_cat_υψηλό', 'lunch_standard'})",0.208,0.12,0.102,0.49038461538461536,4.086538461538462,1.0,0.07704,1.7267924528301888,0.9536541889483067,0.4513274336283186,0.4208916083916084,0.6701923076923076
"frozenset({'race/ethnicity_group D', 'reading_cat_υψηλό'})",frozenset({'writing_cat_υψηλό'}),0.06,0.208,0.051,0.85,4.086538461538462,1.0,0.03852,5.279999999999999,0.8035043804755945,0.23502304147465433,0.8106060606060606,0.5475961538461538
